x,y,total SAXS intensity,total_SAXS_norm_0_1,area under third order curve,collagen_third_norm_0_1,peak_position,peak_position2,peak_width,peak_width2,peak_amplitude,peak_amplitude2,peak_height,peak_height2,rsq_gaussian_fit,SM,AP,area_fit,area_peaks,bg_c,FailReason
47,23,1.235708,0.212515,0.003085,0.2513136731456751,176.98046101122364,356.9804610112236,28.58886201753823,28.58886201753823,12.89726543586605,12.89726543586605,0.17997444182180275,0.17997444182180275,0.7514655424562713,0.13834546865317357,0.15122298764475134,163.12257740118633,24.667883506919594,0.38459637192851875,
48,23,1.138234,0.187548,0.001286,0.1047615506208551,176.98046101122364,356.9804610112236,27.43275546811867,27.43275546811867,10.732771840105658,10.732771840105658,0.1560818955243534,0.1560818955243534,0.7116954997204257,0.12872744471519806,0.1336779500646269,152.7590065357876,20.42051084761303,0.36760693246715154,
49,23,1.082017,0.173149,0.001151,0.0937640316987591,174.98092293661554,354.98092293661557,27.880819974064178,27.880819974064178,10.488824040778251,10.488824040778251,0.15008293821523078,0.15008293821523078,0.7524201267193139,0.1288118000644631,0.13631523692744987,146.56820910790358,19.979480150575895,0.35163535821479913,
50,23,1.096692,0.176907,0.001666,0.1357175298089772,343.02526777423793,163.02526777423793,8.47647709229227,8.47647709229227,4.077359378180516,4.077359378180516,0.19189942126152992,0.19189942126152992,0.46802320954333576,0.12470472634193777,0.05049689995642432,145.27881936060277,7.336130007039799,0.38317413709323045,
51,23,1.125826,0.18437,0.000889,0.0724206986795803,345.0248058488461,165.02480584884609,6.684771512125222,6.684771512125222,4.022636779316311,4.022636779316311,0.24006802432308208,0.24006802432308208,0.4852297160920114,0.13954277629234216,0.04907329857191542,147.27011369378994,7.227030260015283,0.3890085650938185,
52,23,1.137833,0.187445,0.001963,0.1599120714375884,176.98046101122364,356.9804610112236,26.28299790042183,26.28299790042183,10.95517970030791,10.95517970030791,0.16628561126880348,0.16628561126880348,0.7369469100732161,0.1407153403047239,0.13981859714326283,149.24522851862565,20.867258481799922,0.3566054723245159,
53,23,1.157485,0.192479,0.002821,0.2298074139202429,174.98092293661554,354.98092293661557,21.95625464297231,21.95625464297231,13.096326242596964,13.096326242596964,0.2379585380594526,0.2379585380594526,0.8222694084937422,0.1984655564132803,0.1668857556595827,150.01564009691404,25.03547345832949,0.34716712955162377,
54,23,1.270976,0.221548,0.002685,0.2187284318950203,172.98138486200742,352.9813848620074,19.617901307729785,19.617901307729785,16.119536241332305,16.119536241332305,0.3278008409898983,0.3278008409898983,0.8870635722876624,0.25065706485134115,0.19227697361174928,160.72688007780022,30.904078079417985,0.36061889443995065,
55,23,1.375085,0.248215,0.00547,0.4456031741027044,174.98092293661554,354.98092293661557,16.746804240949842,16.746804240949842,17.57384990199981,17.57384990199981,0.4186441576831051,0.4186441576831051,0.9057948921779991,0.2911818906760891,0.19704768089786617,170.45962992504604,33.58867476343883,0.38019709767113113,
56,23,1.379678,0.249391,0.005659,0.4609997005936387,174.98092293661554,354.98092293661557,16.53130045854608,16.53130045854608,19.144642595697313,19.144642595697313,0.46200886577253664,0.46200886577253664,0.8881869966956496,0.32649077473117205,0.21947847278086013,167.14264539800678,36.68421254850739,0.36238453569305384,
57,23,1.307733,0.230963,0.003678,0.2996212932997709,174.98092293661554,354.98092293661557,14.520999911988262,14.520999911988262,17.64287610269871,17.64287610269871,0.4847110576345175,0.4847110576345175,0.8839967683938441,0.3477423890299968,0.21225427868764118,158.680996949865,33.68072054902939,0.34722299000232115,
58,23,1.261585,0.219143,0.003876,0.315750987718845,172.98138486200742,352.9813848620074,16.030670343335,16.030670343335,17.55684042672424,17.55684042672424,0.4369228364423028,0.4369228364423028,0.8756202546343441,0.3290629738548291,0.21622953697977224,155.59470747374922,33.6441715535519,0.3387514886672148,
0,24,0.432672,0.006826,,,,,,,,,,,,,,,,,nan_exist
1,24,0.432691,0.006831,,,,,,,,,,,,,,,,,nan_exist
2,24,0.433317,0.006992,,,,,,,,,,,,,,,,,nan_exist
3,24,0.436599,0.007832,,,,,,,,,,,,,,,,,nan_exist
4,24,0.443119,0.009502,,,,,,,,,,,,,,,,,nan_exist
5,24,0.437297,0.008011,,,,,,,,,,,,,,,,,nan_exist
6,24,0.4433,0.009549,,,,,,,,,,,,,,,,,nan_exist
7,24,0.461265,0.01415,,,,,,,,,,,,,,,,,nan_exist
8,24,0.503251,0.024904,,,,,,,,,,,,,,,,,nan_exist
9,24,0.54949,0.036748,,,,,,,,,,,,,,,,,nan_exist
10,24,1.234102,0.212103,,,,,,,,,,,,,,,,,nan_exist
11,24,2.155877,0.448205,,,,,,,,,,,,,,,,,nan_exist
12,24,2.738136,0.597344,1e-06,8.1463103126637e-05,15.017876967967549,195.01787696796754,22.86727054080393,22.86727054080393,38.10607019517671,38.10607019517671,0.6647982982347842,0.6647982982347842,0.7388657572487871,0.22512832887940115,0.1979407173436499,371.25618210523726,73.48671500417538,0.8271374086140607,
13,24,3.212542,0.718858,,,,,,,,,,,,,,,,,nan_exist
14,24,3.633478,0.826675,,,,,,,,,,,,,,,,,nan_exist
15,24,4.065653,0.937372,0.006166,0.5023014938788437,13.018338893359438,193.01833889335944,6.590745072172043,6.590745072172043,16.391327915833553,16.391327915833553,0.9921782235457103,0.9921782235457103,0.4016186084270158,0.1686816820912425,0.059709449283261655,500.36853273675814,29.87672952838551,1.306921675578813,
16,24,4.356734,1.0,,,,,,,,,,,,,,,,,nan_exist
17,24,4.215897,0.975855,,,,,,,,,,,,,,,,,nan_exist
18,24,4.131711,0.954292,0.009223,0.751334200136973,181.0626837309819,1.0626837309818882,24.326396550102835,24.326396550102835,33.91895902889712,33.91895902889712,0.5562561161066735,0.5562561161066735,0.7132753880930273,0.13617120328397367,0.12451927969717391,515.7409410869006,64.21969049448347,1.2542256960900477,
19,24,4.045292,0.932157,,,,,,,,,,,,,,,,,nan_exist
20,24,3.888994,0.892123,0.013179,1.0,9.01926274414324,189.01926274414325,23.944507596692862,23.944507596692862,39.40367906451114,39.40367906451114,0.6565093693709296,0.6565093693709296,0.8131127470527306,0.16284783026325933,0.14781918713470107,508.57919882141414,75.17776376339896,1.2038928751611533,
21,24,3.840256,0.879639,0.013784,1.0,11.018800818751352,191.01880081875134,5.347016368782899,5.347016368782899,10.442902905969467,10.442902905969467,0.7791476988252626,0.7791476988252626,0.1472421633105513,0.12594769957023047,0.03769606286702762,480.6570874202408,18.118879784875787,1.2848283545426806,
