x,y,total SAXS intensity,total_SAXS_norm_0_1,area under third order curve,collagen_third_norm_0_1,percentage_above_baseline,max_recorded_intensity,firstmoment,D_period,secondmoment,thirdmoment,skewness,q0,deltaq0,wMu,firstmoment_lu,secondmoment_lu,thirdmoment_lu,skewness_lu,D_period_lu,peak_width,wp,peak_amplitude,fibril_radius
22,0,1.341274,0.33028,0.000703,0.10531243021281346,75.65754605552276,0.09397811214427776,0.286763,65.73217577420644,0.0823,0.023633,0.130535,0.285,0.006625,0.1165306122448979,0.286759,0.0823,0.023624,0.130514,66.13879270715356,0.006625,0.033211224489795896,1,80.29413873270455
23,0,1.339371,0.329622,8.3e-05,0.012433757763390493,56.00689339604057,0.028718473567536762,0.287056,65.66508249797516,0.0825,0.023742,0.006623,0.287,0.009625,0.0514285714285714,0.287056,0.0825,0.023734,9e-05,65.67789519699916,0.009625,0.01475999999999999,1,180.6684733514003
24,0,1.416794,0.356376,0.00069,0.10336497417758361,82.38185742893211,0.05383498559608024,0.287502,65.56321667862748,0.0827,0.023806,-0.290111,0.283,0.0025,0.1816326530612245,0.287504,0.0827,0.023804,2.13565,66.60620466974827,0.0025,0.05140204081632653,1,51.87861462923995
25,0,1.486987,0.380632,0.000109,0.016328669833850167,57.02354584679402,0.0418192492724061,0.287209,65.6301018475701,0.0826,0.023796,0.095388,0.285,0.009625,0.1342857142857142,0.287209,0.0826,0.023781,0.09443,66.13879270715356,0.009625,0.03827142857142855,1,69.67774045041686
26,0,1.43381,0.362256,0.002088,0.3127914001199922,95.30318939444125,0.13124505318323632,0.289761,65.05208058206162,0.084,0.024373,-0.402978,0.288,0.007,0.1165306122448979,0.289763,0.084,0.024378,0.114989,65.44984694978736,0.007,0.033560816326530594,1,79.45774145423886
27,0,1.13978,0.260652,0.001487,0.22275900956821282,93.52016390336341,0.15684376247049547,0.290657,64.8515463984654,0.0845,0.024585,-1.351521,0.289,0.005125,0.1106122448979591,0.290658,0.0845,0.024583,0.207858,65.22337689113758,0.005125,0.03196693877551018,1,83.4195193163005
28,0,1.144292,0.262211,0.000562,0.08419002244608985,81.25393029905402,0.07618560277831898,0.289971,65.00496919188043,0.0842,0.024442,-0.504466,0.289,0.008875,0.0928571428571428,0.289967,0.0842,0.024451,0.014159,65.22337689113758,0.008875,0.02683571428571427,1,99.37006476798871
29,0,1.410367,0.354155,0.002357,0.35308875961820957,90.36512614602599,0.23812488608214433,0.290057,64.98569564443801,0.0842,0.024432,-0.129302,0.29,0.0055,0.0336734693877551,0.29006,0.0842,0.02443,6.1e-05,64.99846869496125,0.0055,0.00976530612244898,1,273.075583420411
30,0,1.625537,0.428508,0.003115,0.4666404269031493,94.68557947678272,0.34782962503663994,0.290709,64.83994620578915,0.0845,0.024588,-0.269722,0.289,0.00325,0.1106122448979591,0.290711,0.0845,0.024583,0.58957,65.22337689113758,0.00325,0.03196693877551018,1,83.4195193163005
31,0,1.769055,0.478101,0.005049,0.756361963221188,96.8238811899969,0.585767721789582,0.291025,64.76954186595228,0.0847,0.024671,-1.133001,0.29,0.004375,0.086938775510204,0.291023,0.0847,0.024667,0.092375,64.99846869496125,0.004375,0.025212244897959157,1,105.76871188818747
