sample no,fname,ix,iy,totalint,totalcoll,region,center,rho_new,Dnew2,wa2,wdist2,Diameter2,Group,Sample,State,zone
599112,35_6.txt,6,35,0.046656,0.009096,dz,81.452074,5.234686,66.788215,0.002427,0.927372,32.482776,untreated,control,unloaded,AC
599112,35_7.txt,7,35,0.04597,0.010243,dz,82.344585,5.183181,66.798063,0.002619,1.037472,32.833778,untreated,control,unloaded,AC
599112,35_8.txt,8,35,0.045498,0.009289,dz,81.643996,5.474503,66.807708,0.002593,1.180004,34.127129,untreated,control,unloaded,AC
599112,35_9.txt,9,35,0.048094,0.010333,dz,81.222104,6.260822,66.785608,0.002296,1.132678,32.045232,untreated,control,unloaded,AC
599112,36_0.txt,0,36,0.043967,0.009646,dz,83.11587,5.519662,66.802182,0.002546,1.02842,34.481564,untreated,control,unloaded,AC
599112,36_1.txt,1,36,0.044207,0.009194,dz,82.34645,5.429645,66.84071,0.002522,0.927372,34.199781,untreated,control,unloaded,AC
599112,36_10.txt,10,36,0.047165,0.010818,dz,82.58968,5.555877,66.882998,0.002463,0.927372,32.299615,untreated,control,unloaded,AC
599112,36_11.txt,11,36,0.046513,0.010779,dz,81.575359,5.925696,66.846804,0.002224,0.826318,31.878228,untreated,control,unloaded,AC
599112,36_12.txt,12,36,0.046196,0.011271,dz,81.343503,5.579327,66.879425,0.00211,0.725264,32.773696,untreated,control,unloaded,AC
599112,36_2.txt,2,36,0.044778,0.010818,dz,81.797232,5.558676,66.842385,0.00249,0.725265,33.183472,untreated,control,unloaded,AC
599112,36_3.txt,3,36,0.043788,0.011334,dz,82.196646,5.222441,66.792603,0.002466,0.826318,34.034277,untreated,control,unloaded,AC
599112,36_4.txt,4,36,0.045165,0.010505,dz,83.016935,5.197917,66.825033,0.002771,1.112839,33.73288,untreated,control,unloaded,AC
599112,36_5.txt,5,36,0.046214,0.010049,dz,82.469211,5.640864,66.814595,0.002252,0.926554,33.063895,untreated,control,unloaded,AC
599112,36_6.txt,6,36,0.046977,0.01176,dz,82.174215,5.789166,66.825279,0.00288,1.054202,33.459465,untreated,control,unloaded,AC
599112,36_7.txt,7,36,0.047371,0.010154,dz,82.258292,5.54442,66.874493,0.002279,0.725265,32.679437,untreated,control,unloaded,AC
599112,36_8.txt,8,36,0.047228,0.011792,dz,81.538084,5.889265,66.876617,0.002578,0.927371,32.350889,untreated,control,unloaded,AC
599112,36_9.txt,9,36,0.047042,0.010067,dz,82.40317,5.759405,66.832358,0.002113,0.826318,33.267569,untreated,control,unloaded,AC
